epoch,phase,loss,accuracy,f1_score,recall
0,val,0.6611032429494356,0.7672514319419861,0.575668712101058,0.6379196650013659
1,val,0.4833636726900848,0.8140350580215454,0.6338804460628187,0.6619860265701881
2,val,0.47626480874088073,0.8105263113975525,0.711322477563146,0.7288716036053721
3,val,0.37376769118403136,0.8549707531929016,0.7951985553076695,0.8198356930045912
4,val,0.41251441542473105,0.8432748317718506,0.7923297291444306,0.8381559001706718
5,val,0.37600453056351485,0.8573099374771118,0.8058790965938235,0.8519616343044718
6,val,0.48107608949318964,0.8292397260665894,0.7744841467184933,0.8403351000310808
7,val,0.28661598731812676,0.8923976421356201,0.8518041172255646,0.8572370537588676
8,val,0.31493076972271267,0.8795321583747864,0.8281236403766048,0.8391011379932712
9,val,0.4234654357477108,0.8491228222846985,0.7971993593063152,0.8626429307552633
10,val,0.36079303228367143,0.8760233521461487,0.8381091471527179,0.8684239583844531
11,val,0.27524841239577846,0.8923976421356201,0.8594689822665431,0.8814532240794115
12,val,0.38117628521149793,0.8654970526695251,0.8333804442718769,0.8776700855539743
13,val,0.314046388446239,0.8947368264198303,0.8623247623007653,0.8845923781169401
14,val,0.38385509524102274,0.8807017207145691,0.8419236787129998,0.8763554225079474
15,val,0.30475523578798214,0.886549711227417,0.8468879476542817,0.8796895192291962
16,val,0.3254627171299306,0.8853800892829895,0.8502222975391508,0.8949435092942479
17,val,0.2832677341365849,0.8947368264198303,0.8582369006087833,0.8920246655781956
18,val,0.29677767796736015,0.8923976421356201,0.8566425141850145,0.8990352685216993
19,val,0.29103839944677745,0.8970760107040405,0.8614627745561024,0.9020124813924196
20,val,0.3044241304732641,0.8935672640800476,0.8567085815444722,0.8997929310279018
21,val,0.2865115015228328,0.9017543792724609,0.8676101312722372,0.9047759456467804
22,val,0.30771316973089474,0.8947368264198303,0.8555216486714672,0.8952490007797462
23,val,0.31885293004870935,0.8900584578514099,0.8532402727208995,0.8977336921256537
24,val,0.35023814466161035,0.8701754212379456,0.8276174193235178,0.8856817054086034
25,val,0.3318785287020456,0.8888888955116272,0.8504149725034147,0.897056185350586
26,val,0.3393450692029158,0.8807017207145691,0.8426632775066237,0.8867715779773493
27,val,0.32546554390471755,0.8912280797958374,0.8577909140458004,0.8931096061463633
28,val,0.3285138661227031,0.8818713426589966,0.8415359943432942,0.8927239589297302
29,val,0.3249273809440957,0.8853800892829895,0.8455939015423536,0.8949702278712929
30,val,0.31771276002717125,0.8900584578514099,0.8545203304603137,0.8924053807942507
31,val,0.320880160469845,0.8912280797958374,0.8514725732976935,0.8984379174777664
32,val,0.3513311174472151,0.874853789806366,0.8364509727768132,0.8886054811252337
33,val,0.3264728579724654,0.8888888955116272,0.8525747659050451,0.8969493110424063
34,val,0.34108708881124944,0.8760233521461487,0.8326755793605812,0.8891761135921219
35,val,0.3142891710526065,0.8935672640800476,0.8587500003977453,0.8997929310279018
36,val,0.31624521262486255,0.8888888955116272,0.8529241205691797,0.8917813111732726
37,val,0.3146327584856653,0.8935672640800476,0.8601089938859929,0.8945714940046785
38,val,0.31399026977072597,0.8912280797958374,0.8533683885174657,0.8931630433004532
39,val,0.3480800837512558,0.871345043182373,0.8283746894375134,0.886385930760716
40,val,0.3292233010884701,0.886549711227417,0.8475434976674628,0.895514141761136
41,val,0.30700903249991657,0.8923976421356201,0.8577244455215092,0.8939474243837007
42,val,0.34708849156536814,0.8725146055221558,0.8315989552386611,0.8870367189587389
43,val,0.3251928773316506,0.8853800892829895,0.8471564699172492,0.8895884793858
44,val,0.3181068601734849,0.8935672640800476,0.8575166891853062,0.8945447754276336
45,val,0.3255517276744658,0.8842105269432068,0.8459287697001401,0.8888842540336872
46,val,0.32950113675290205,0.8842105269432068,0.8445530083473803,0.8941324096339556
47,val,0.3268405867495427,0.8900584578514099,0.8502169759988093,0.8978405664338334
48,val,0.3274550666613232,0.8900584578514099,0.8507623220789766,0.8976802549715638
49,val,0.31989459310445867,0.8912280797958374,0.8545470006375194,0.8931096061463633
50,val,0.3242981602383331,0.8912280797958374,0.8511383146591508,0.8931363247234082
51,val,0.3377717344901846,0.8783625364303589,0.8360592299736975,0.890664720027482
52,val,0.31695540552544926,0.8888888955116272,0.8520344359330316,0.8917011554421379
53,val,0.3298555919807949,0.8853800892829895,0.8508068039214044,0.8950503836024276
54,val,0.3171823275041336,0.8947368264198303,0.8618559613891952,0.8952222822027014
55,val,0.34643924674128146,0.8725146055221558,0.8283492334265842,0.8870901561128287
56,val,0.3249595625750851,0.8853800892829895,0.8462655880782846,0.8895884793858
57,val,0.31994098498219115,0.8853800892829895,0.848526011391141,0.8948633535631131
58,val,0.3354415993919672,0.8807017207145691,0.8379175993146581,0.8920464521546624
59,val,0.3036125052371743,0.8959064483642578,0.8626989992448137,0.9013349746173518
60,val,0.32139947397841345,0.8900584578514099,0.8545820803000068,0.8924320993712955
61,val,0.3077407104954428,0.8935672640800476,0.8566011355541905,0.8945982125817233
